llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15774-39-11-1,1,1,44.0,1,1.0,0,0,158.062057495117,5.0,0
15774-39-11-2,2,2,36.0,1,1.0,0,0,158.062057495117,6.0,0
15774-39-11-3,3,1,15.0,1,1.0,0,0,158.062057495117,5.0,0
15774-39-11-4,3,2,12.0,0,,0,0,158.062057495117,4.0,0
15774-39-11-5,3,2,4.0,0,,0,0,158.062057495117,2.0,0
15776-31-11-1,1,1,81.0,1,1.0,0,0,154.288711547852,3.0,0
15776-31-11-2,2,2,85.0,1,0.0,0,0,154.288711547852,1.0,0
15776-32-11-1,1,1,61.0,1,1.0,0,0,154.288711547852,4.0,0
15776-32-11-2,2,2,57.0,1,1.0,0,0,154.288711547852,3.0,0
15776-32-11-3,3,2,24.0,1,0.0,1,0,154.288711547852,6.0,0
15776-32-11-4,5,2,0.0,0,,0,0,154.288711547852,,0
15776-32-11-5,0, ,,0,,0,0,154.288711547852,,0
15776-67-11-1,1,1,42.0,1,1.0,0,0,154.288711547852,6.0,0
15776-67-11-2,11,2,36.0,1,0.0,0,0,154.288711547852,5.0,0
15776-67-11-3,7,2,21.0,1,0.0,0,0,154.288711547852,6.0,0
15776-67-11-4,7,1,14.0,1,1.0,0,0,154.288711547852,5.0,0
15776-70-11-1,1,2,83.0,1,1.0,0,0,154.288711547852,1.0,0
15776-70-11-2,5,1,25.0,1,1.0,0,0,154.288711547852,6.0,0
15776-70-11-3,3,1,52.0,1,1.0,0,0,154.288711547852,5.0,1
15776-70-11-4,3,1,48.0,1,1.0,0,0,154.288711547852,3.0,0
15776-70-11-5,7,2,77.0,1,0.0,0,0,154.288711547852,4.0,0
15776-72-11-1,1,1,42.0,1,1.0,0,0,154.288711547852,6.0,0
15776-72-11-2,2,2,38.0,1,1.0,0,0,154.288711547852,3.0,0
15776-72-11-3,3,2,14.0,1,1.0,0,0,154.288711547852,5.0,0
15776-72-11-4,3,2,7.0,0,,0,0,154.288711547852,3.0,0
15776-72-11-5,3,2,5.0,0,,0,0,154.288711547852,2.0,0
15777-6-11-1,1,1,43.0,1,1.0,0,0,154.288711547852,7.0,0
15777-6-11-2,2,2,46.0,1,1.0,0,0,154.288711547852,6.0,0
15777-6-11-3,3,1,20.0,1,0.0,0,0,154.288711547852,9.0,0
15777-6-11-4,3,1,19.0,1,0.0,0,0,154.288711547852,6.0,1
15777-6-11-5,3,1,11.0,0,,0,0,154.288711547852,3.0,0
15777-6-11-6,3,2,25.0,1,1.0,0,0,154.288711547852,8.0,0
15777-6-11-7,5,2,6.0,0,,0,0,154.288711547852,2.0,0
15777-9-11-1,1,1,61.0,1,1.0,0,0,154.288711547852,4.0,0
15777-9-11-2,2,2,64.0,1,1.0,0,0,154.288711547852,5.0,0
15777-9-11-3,4,1,32.0,0,,0,0,154.288711547852,,0
15777-17-11-1,1,1,61.0,1,1.0,0,1,154.288711547852,6.0,1
15777-17-11-2,2,2,60.0,1,0.0,0,0,154.288711547852,5.0,0
15777-28-11-1,1,1,44.0,1,1.0,1,0,154.288711547852,6.0,0
15777-28-11-2,2,2,41.0,1,1.0,0,1,154.288711547852,5.0,0
15777-28-11-3,3,1,19.0,1,0.0,1,0,154.288711547852,6.0,0
15777-28-11-4,3,2,10.0,0,,0,0,154.288711547852,3.0,0
15777-28-11-5,3,2,5.0,0,,0,0,154.288711547852,2.0,0
15777-28-11-6,3,1,2.0,0,,0,0,154.288711547852,,0
15777-32-11-1,1,1,43.0,1,1.0,0,0,154.288711547852,6.0,0
15777-32-11-2,2,2,40.0,1,1.0,0,0,154.288711547852,5.0,0
15777-32-11-3,3,1,18.0,1,1.0,0,0,154.288711547852,6.0,0
15777-32-11-4,3,2,12.0,0,,0,0,154.288711547852,4.0,0
15777-32-11-5,3,1,6.0,0,,0,0,154.288711547852,2.0,0
15777-32-11-6,3,1,4.0,0,,0,0,154.288711547852,2.0,0
15777-47-11-1,1,1,32.0,1,1.0,0,1,154.288711547852,6.0,0
15777-47-11-2,2,2,25.0,1,1.0,0,0,154.288711547852,6.0,0
15777-47-11-3,3,2,5.0,0,,0,0,154.288711547852,2.0,0
15777-75-11-1,1,1,40.0,1,1.0,0,0,154.288711547852,5.0,1
15777-75-11-2,2,2,31.0,1,0.0,0,0,154.288711547852,4.0,0
15777-75-11-3,3,1,10.0,0,,0,0,154.288711547852,3.0,0
15777-75-11-4,3,1,8.0,0,,0,0,154.288711547852,3.0,0
15777-75-11-5,3,2,5.0,0,,0,0,154.288711547852,2.0,0
15777-75-11-6,3,2,2.0,0,,0,0,154.288711547852,,0
15778-42-11-1,1,1,68.0,1,1.0,0,0,158.062057495117,6.0,0
