CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal_2024,Billetera,CreditoFormal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15074,74,11,1,1,1,27,6.0,5,2,3, ,1,0.0,8.0,0.0,7,5, ,283.740692138672,4,15074-74-11-1,27.0,1,3.0,,2.0,1.0,0,1,0,1,1,0,0,1.0,0
15074,88,11,1,1,1,47,6.0,5,4,3,7,2,0.0,0.0,0.0,7,5, ,283.740692138672,3,15074-88-11-1,47.0,1,3.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15075,9,11,1,1,1,51,6.0,5,1,3, ,1,0.0,0.0,0.0,7,5, ,302.895935058594,4,15075-9-11-1,51.0,1,3.0,,1.0,1.0,0,0,0,1,1,0,0,1.0,0
15075,46,11,1,1,2,55,3.0,0,2,3, ,1,0.0,8.0,0.0,7,5, ,302.895935058594,3,15075-46-11-1,55.0,1,3.0,,2.0,1.0,0,1,0,1,1,0,0,1.0,0
15075,82,11,1,1,1,46,3.0,0,2,3, ,1,0.0,0.0,0.0,7,5, ,302.895935058594,4,15075-82-11-1,46.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15075,101,11,1,1,1,40,4.0,0,2,3, ,1,0.0,0.0,0.0,7,5, ,302.895935058594,4,15075-101-11-1,40.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15075,120,11,1,1,1,41,6.0,5,2,3, ,1,0.0,0.0,0.0,7,5, ,302.895935058594,3,15075-120-11-1,41.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15078,29,11,1,1,1,73,3.0,3,2,3, ,1,0.0,0.0,0.0,4,6,1,78.585823059082,3,15078-29-11-1,73.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15078,38,11,1,1,1,55,4.0,0,2,3, ,1,0.0,0.0,0.0,4,6,1,78.585823059082,1,15078-38-11-1,55.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15078,57,11,1,1,1,38,4.0,0,2,3, ,1,0.0,0.0,0.0,4,6,1,78.585823059082,6,15078-57-11-1,38.0,1,3.0,,2.0,1.0,0,0,1,1,1,0,1,1.0,1
15078,75,11,1,1,1,51,4.0,0,2,3, ,1,0.0,0.0,0.0,4,6,1,78.585823059082,4,15078-75-11-1,51.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15085,8,11,1,1,2,83,3.0,2,2,3, ,1,0.0,0.0,0.0,4,8,1,80.3816604614258,2,15085-8-11-1,83.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
