llave_persona,P203,P207,Edad,Ocupado,Informal,TenenciaBilletera,UsoBilletera,CreditoFormal_2024,FACTOR07,P301A,ESTRATO,DOMINIO,MIEPERHO,CONGLOME,CreditoFormal_2025,CreditoInformal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15162-397-11-1,1,1,56.0,1,1.0,0,0,0,71.17578125,5.0,7,7,1,15162,0,0,1,1,0,0,1.0,0
15162-398-11-1,1,1,36.0,1,1.0,0,0,0,71.17578125,6.0,7,7,3,15162,0,0,1,1,0,0,1.0,0
15163-17-11-1,1,1,60.0,1,1.0,0,0,0,65.3573379516602,4.0,8,7,3,15163,0,0,1,1,0,0,1.0,0
15163-19-11-1,1,1,33.0,1,1.0,0,0,0,65.3573379516602,5.0,8,7,2,15163,0,0,1,1,0,0,1.0,0
15163-40-11-1,1,1,56.0,1,1.0,0,0,0,65.3573379516602,3.0,8,7,5,15163,0,0,1,1,0,0,1.0,0
15163-41-11-1,1,1,27.0,1,1.0,0,0,0,65.3573379516602,5.0,8,7,4,15163,0,0,1,1,0,0,1.0,0
15163-43-11-1,1,1,58.0,1,1.0,0,0,0,65.3573379516602,6.0,8,7,2,15163,0,0,1,1,0,0,1.0,0
15163-44-11-1,1,1,71.0,1,1.0,0,0,0,65.3573379516602,1.0,8,7,5,15163,0,0,1,1,0,0,1.0,0
15164-1-11-1,1,1,39.0,1,1.0,0,0,0,71.17578125,3.0,8,7,5,15164,0,1,1,1,0,0,1.0,0
15164-4-11-1,1,1,65.0,1,1.0,0,0,0,71.17578125,1.0,8,7,3,15164,0,0,1,1,0,0,1.0,0
15164-80-11-1,1,1,71.0,1,1.0,0,0,0,71.17578125,3.0,8,7,3,15164,0,0,1,1,0,0,1.0,0
15164-82-11-1,1,2,61.0,1,1.0,0,0,0,71.17578125,4.0,8,7,4,15164,0,0,1,1,0,0,1.0,0
15165-16-11-1,1,2,84.0,1,1.0,0,0,0,65.3573379516602,3.0,6,7,1,15165,0,0,1,1,0,0,1.0,0
15165-20-11-1,1,1,57.0,1,1.0,0,0,0,65.3573379516602,5.0,6,7,2,15165,0,0,1,1,0,0,1.0,0
